job,dag,timestamp,total-mem,mem-util,compute-util
0,0,0.000105858,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.401624441,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.633691788,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.855346441,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.073637247,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.288166761,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.500782728,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.708785295,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.915918827,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.121711016,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.327511787,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.534583092,"29446897664, 29411246080, 29413343232, 29421731840, 29417537536, 29413343232, 29413343232, 29411246080","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 1, 0, 1, 0"
1,0,2.756342411,"29501423616, 29469966336, 29505617920, 29514006528, 29514006528, 29467869184, 29469966336, 29461577728","1, 0, 0, 0, 0, 0, 0, 0","10, 4, 8, 3, 8, 4, 4, 4"
1,0,2.965214729,"29562241024, 29526589440, 29623058432, 29574823936, 29572726784, 29526589440, 29558046720, 29562241024","0, 0, 0, 0, 0, 0, 0, 0","5, 4, 7, 4, 7, 4, 3, 3"
1,0,3.176552296,"29631447040, 29593698304, 29688070144, 29698555904, 29635641344, 29602086912, 29618864128, 29633544192","0, 0, 0, 0, 0, 0, 1, 1","5, 4, 4, 5, 5, 5, 11, 13"
1,0,3.386792183,"29700653056, 29748887552, 29748887552, 29761470464, 29719527424, 29656612864, 29740498944, 29704847360","0, 1, 0, 1, 0, 0, 1, 0","4, 10, 5, 12, 5, 4, 12, 5"
1,0,3.596105099,"29815996416, 29822287872, 29811802112, 29824385024, 29782441984, 29717430272, 29803413504, 29776150528","0, 0, 0, 0, 0, 0, 0, 0","5, 5, 4, 5, 5, 4, 5, 5"
1,0,3.818453312,"29872619520, 29893591040, 29870522368, 29883105280, 29843259392, 29782441984, 29881008128, 29847453696","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 4, 4, 4, 5, 3, 5"
1,0,4.059969187,"29935534080, 29964894208, 29937631232, 29933436928, 29904076800, 29878910976, 29941825536, 29906173952","0, 0, 0, 0, 0, 0, 0, 0","4, 4, 4, 3, 4, 9, 5, 6"
1,0,4.296044588,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","1, 7, 0, 0, 1, 1, 0, 1","25, 52, 3, 17, 14, 13, 4, 24"
1,0,4.5198915,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","10, 8, 13, 7, 7, 8, 7, 8","77, 75, 69, 75, 68, 74, 79, 78"
1,0,4.753443718,"29987962880, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","11, 6, 7, 8, 1, 6, 7, 1","72, 68, 57, 70, 45, 35, 57, 43"
1,0,4.966905594,"29985865728, 29987962880, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","8, 7, 8, 14, 13, 11, 14, 10","77, 69, 77, 60, 71, 77, 75, 72"
1,0,5.192120075,"29985865728, 29985865728, 29987962880, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","7, 7, 8, 14, 7, 5, 1, 11","58, 50, 68, 71, 62, 60, 47, 62"
1,0,5.406221628,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","8, 12, 13, 13, 7, 13, 8, 8","60, 75, 49, 71, 60, 68, 72, 64"
1,0,5.62978363,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","7, 8, 13, 7, 13, 12, 11, 7","50, 51, 72, 50, 58, 58, 59, 58"
1,0,5.8437922,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","1, 2, 2, 0, 2, 2, 1, 1","9, 8, 9, 2, 17, 17, 25, 8"
1,0,6.052815676,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 8, 0, 13","0, 1, 0, 0, 0, 14, 0, 21"
1,0,6.268829346,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 41, 0, 0, 0","0, 0, 0, 0, 63, 0, 0, 0"
1,0,6.473542452,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 49, 0, 0, 0","0, 0, 0, 0, 95, 0, 0, 0"
1,2,6.723089695,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,6.937158823,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.142554998,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.348206282,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.55390501,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
