job,dag,timestamp,total-mem,mem-util,compute-util
0,0,8.606910706e-05,"30772297728, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.526600599,"31136153600, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.754546404,"31213748224, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.963277817,"31320702976, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","1, 0, 0, 0, 0, 0, 0, 0","11, 0, 0, 0, 0, 0, 0, 0"
1,0,1.170255184,"31394103296, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.377541542,"31459115008, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","6, 0, 0, 0, 0, 0, 0, 0"
1,0,1.584129333,"31536709632, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.790368795,"31660441600, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","13, 0, 0, 0, 0, 0, 0, 0"
1,0,1.997260094,"31738036224, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,2.203362226,"31754813440, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,2.408995867,"31754813440, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","2, 0, 0, 0, 0, 0, 0, 0"
1,0,2.613937616,"31798853632, 30116937728, 30146297856, 30112743424, 30119034880, 30112743424, 30148395008, 30125326336","0, 0, 0, 0, 0, 0, 0, 0","4, 2, 2, 1, 3, 4, 4, 2"
1,0,2.8551476,"31859671040, 30223892480, 30267932672, 30173560832, 30217601024, 30272126976, 30217601024, 30200823808","0, 0, 1, 0, 0, 0, 1, 0","4, 13, 12, 4, 5, 4, 11, 5"
1,0,3.094467402,"31916294144, 30288904192, 30326652928, 30234378240, 30282612736, 30335041536, 30278418432, 30257446912","0, 0, 0, 0, 0, 1, 0, 0","3, 4, 3, 3, 5, 4, 4, 3"
1,0,3.315920591,"31975014400, 30349721600, 30393761792, 30286807040, 30341332992, 30404247552, 30335041536, 30314070016","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 2, 3, 5, 4, 5, 5"
1,0,3.530031919,"32077774848, 30418927616, 30458773504, 30347624448, 30408441856, 30473453568, 30404247552, 30460870656","1, 0, 0, 0, 0, 0, 0, 1","12, 5, 4, 4, 4, 3, 4, 12"
1,0,3.742634773,"32186826752, 30530076672, 30517493760, 30490230784, 30471356416, 30534270976, 30460870656, 30521688064","0, 1, 0, 1, 0, 0, 0, 0","4, 12, 3, 11, 5, 6, 3, 4"
