job,dag,timestamp,total-mem,mem-util,compute-util
0,0,6.27040863e-05,"30772297728, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.529609919,"31138250752, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.761942148,"31215845376, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.983667374,"31326994432, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","1, 0, 0, 0, 0, 0, 0, 0","11, 0, 0, 0, 0, 0, 0, 0"
1,0,1.202726841,"31394103296, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.410382509,"31473795072, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","6, 0, 0, 0, 0, 0, 0, 0"
1,0,1.618850946,"31543001088, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.82758379,"31675121664, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","1, 0, 0, 0, 0, 0, 0, 0","13, 0, 0, 0, 0, 0, 0, 0"
1,0,2.033702612,"31750619136, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,2.238732576,"31752716288, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,2.44528842,"31754813440, 30068703232, 30070800384, 30068703232, 30068703232, 30070800384, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","2, 0, 0, 0, 0, 0, 0, 0"
1,0,2.655111313,"31807242240, 30123229184, 30152589312, 30121132032, 30127423488, 30121132032, 30156783616, 30127423488","0, 0, 0, 0, 0, 0, 0, 0","4, 2, 2, 4, 3, 4, 4, 2"
1,0,2.874670982,"31859671040, 30228086784, 30272126976, 30179852288, 30223892480, 30278418432, 30221795328, 30207115264","0, 1, 1, 0, 0, 0, 1, 0","4, 13, 12, 4, 5, 4, 4, 5"
1,0,3.125268459,"31922585600, 30295195648, 30330847232, 30238572544, 30291001344, 30337138688, 30286807040, 30263738368","0, 0, 0, 0, 0, 0, 0, 0","4, 4, 3, 3, 5, 4, 4, 3"
1,0,3.341203928,"31983403008, 30356013056, 30400053248, 30295195648, 30345527296, 30412636160, 30343430144, 30318264320","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 2, 3, 5, 4, 5, 5"
1,0,3.556099415,"32084066304, 30421024768, 30467162112, 30441996288, 30416830464, 30475550720, 30412636160, 30469259264","1, 0, 0, 0, 0, 0, 0, 1","12, 5, 4, 4, 4, 3, 4, 12"
