job,dag,timestamp,total-mem,mem-util,compute-util
0,0,0.000110626,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.401250124,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.633150578,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.855102062,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.071904421,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.287545919,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.497578382,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.704810858,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.910849333,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.116345406,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
