job,dag,timestamp,total-mem,mem-util,compute-util
0,0,0.000134945,"30776492032, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.526350737,"31136153600, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.755656958,"31213748224, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.971516609,"31322800128, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","1, 0, 0, 0, 0, 0, 0, 0","11, 0, 0, 0, 0, 0, 0, 0"
1,0,1.177470446,"31394103296, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.383000612,"31463309312, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","6, 0, 0, 0, 0, 0, 0, 0"
1,0,1.588813066,"31538806784, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.794548273,"31662538752, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","1, 0, 0, 0, 0, 0, 0, 0","13, 0, 0, 0, 0, 0, 0, 0"
1,0,2.001843214,"31738036224, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,2.207779646,"31754813440, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,2.413674116,"31754813440, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","2, 0, 0, 0, 0, 0, 0, 0"
1,0,2.618338108,"31800950784, 30116937728, 30148395008, 30114840576, 30119034880, 30112743424, 30148395008, 30125326336","0, 0, 0, 0, 0, 0, 0, 0","4, 2, 2, 4, 3, 4, 4, 2"
1,0,2.856714725,"31859671040, 30223892480, 30267932672, 30173560832, 30217601024, 30274224128, 30217601024, 30200823808","0, 0, 1, 0, 0, 0, 1, 0","4, 13, 12, 4, 5, 4, 11, 5"
1,0,3.099327087,"31918391296, 30291001344, 30330847232, 30236475392, 30284709888, 30337138688, 30280515584, 30257446912","0, 0, 0, 0, 0, 1, 0, 0","3, 4, 3, 3, 5, 4, 4, 3"
1,0,3.319635868,"31977111552, 30349721600, 30397956096, 30291001344, 30343430144, 30406344704, 30337138688, 30316167168","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 2, 3, 5, 4, 5, 5"
1,0,3.535389185,"32079872000, 30418927616, 30460870656, 30349721600, 30410539008, 30473453568, 30404247552, 30462967808","1, 0, 0, 0, 0, 0, 0, 1","12, 5, 4, 4, 4, 3, 4, 12"
1,0,3.751581669,"32191021056, 30534270976, 30521688064, 30490230784, 30475550720, 30536368128, 30462967808, 30525882368","0, 1, 0, 1, 0, 0, 0, 0","4, 12, 3, 11, 5, 6, 3, 4"
1,0,3.961984873,"32245547008, 30586699776, 30569922560, 30561533952, 30582505472, 30595088384, 30521688064, 30580408320","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 4, 2, 4, 4, 4, 4"
1,0,4.194880962,"32308461568, 30647517184, 30618157056, 30618157056, 30641225728, 30647517184, 30572019712, 30632837120","0, 0, 0, 0, 1, 0, 0, 0","4, 3, 4, 5, 11, 4, 4, 3"
1,0,4.403647184,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 7, 0, 0, 0, 0, 1, 0","2, 51, 9, 4, 4, 9, 11, 37"
1,0,4.609499693,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","7, 7, 7, 8, 7, 7, 13, 8","73, 44, 46, 65, 62, 52, 54, 48"
1,0,4.949034214,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","14, 7, 9, 14, 8, 9, 13, 8","69, 43, 74, 51, 77, 72, 79, 53"
1,0,5.232973099,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","2, 8, 8, 7, 11, 12, 9, 14","35, 66, 50, 40, 46, 57, 58, 68"
1,0,5.446707249,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","13, 13, 13, 14, 14, 8, 14, 13","75, 59, 70, 71, 64, 66, 67, 64"
1,0,5.683677197,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","14, 7, 13, 6, 13, 7, 13, 7","70, 54, 58, 33, 70, 56, 63, 52"
1,0,5.894431829,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","6, 0, 0, 0, 7, 1, 6, 0","26, 0, 0, 7, 21, 4, 29, 10"
1,0,6.099633932,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,6.308605433,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,6.515209436,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,6.763124943,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,6.991758108,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.20036006,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.405738115,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.611149788,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.817712545,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.022569418,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.228289127,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.43327117,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.638265848,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.842982769,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,9.048628807,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,9.254114866,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,9.460426331,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,9.671089649,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,9.876036167,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,10.08148646,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,10.28678298,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 1, 0, 0, 1, 0, 1, 0","1, 30, 4, 0, 38, 0, 28, 1"
1,2,10.50189137,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","8, 14, 8, 13, 13, 7, 14, 1","68, 65, 77, 60, 65, 57, 69, 83"
1,2,10.74459624,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30660100096, 30658002944, 30658002944","14, 8, 9, 7, 8, 8, 8, 9","52, 60, 69, 47, 77, 60, 59, 71"
1,2,10.95985746,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","13, 8, 14, 13, 14, 14, 13, 14","70, 63, 71, 71, 70, 69, 63, 70"
1,2,11.20628095,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","13, 12, 13, 13, 8, 14, 7, 14","68, 54, 68, 65, 71, 70, 59, 65"
1,2,11.4320507,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","13, 1, 7, 8, 12, 7, 1, 7","67, 11, 25, 49, 51, 44, 10, 44"
1,2,11.64946461,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","13, 0, 0, 0, 0, 0, 0, 1","0, 0, 2, 4, 0, 6, 0, 8"
1,2,11.85811567,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,12.06310534,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,4,12.26855063,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,4,12.47416639,"32348307456, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944, 30658002944","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
