job,dag,timestamp,total-mem,mem-util,compute-util
0,0,0.000114202,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.39560318,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.621692419,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.827993393,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.033644676,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.239450932,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.445078373,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.650562525,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,1.857144594,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.062855721,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.268569469,"29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016, 29396566016","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.474019289,"29400760320, 29402857472, 29400760320, 29400760320, 29400760320, 29396566016, 29400760320, 29400760320","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,2.689514875,"29480452096, 29448994816, 29488840704, 29459480576, 29493035008, 29451091968, 29457383424, 29448994816","1, 0, 0, 0, 0, 0, 0, 0","10, 4, 8, 3, 8, 2, 1, 2"
1,0,2.90137887,"29543366656, 29505617920, 29602086912, 29555949568, 29558046720, 29509812224, 29541269504, 29511909376","0, 0, 0, 1, 0, 0, 0, 0","4, 4, 7, 11, 7, 4, 3, 3"
1,0,3.125017405,"29620961280, 29581115392, 29677584384, 29631447040, 29620961280, 29576921088, 29606281216, 29614669824","0, 0, 1, 0, 0, 0, 1, 1","5, 4, 12, 5, 5, 5, 11, 13"
1,0,3.3492589,"29690167296, 29738401792, 29740498944, 29753081856, 29696458752, 29644029952, 29727916032, 29694361600","0, 1, 0, 1, 0, 0, 0, 0","4, 10, 5, 12, 5, 4, 5, 5"
1,0,3.558493853,"29750984704, 29809704960, 29799219200, 29813899264, 29776150528, 29704847360, 29797122048, 29763567616","0, 0, 0, 0, 0, 0, 0, 0","5, 5, 4, 5, 5, 4, 5, 5"
1,0,3.773363829,"29860036608, 29876813824, 29864230912, 29872619520, 29832773632, 29771956224, 29868425216, 29834870784","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 4, 4, 4, 5, 3, 5"
1,0,4.001057863,"29920854016, 29935534080, 29922951168, 29925048320, 29889396736, 29862133760, 29927145472, 29889396736","0, 0, 0, 0, 0, 0, 0, 0","4, 4, 4, 3, 3, 6, 4, 4"
1,0,4.21087575,"29983768576, 29985865728, 29975379968, 29983768576, 29985865728, 29977477120, 29981671424, 29985865728","0, 0, 0, 0, 1, 0, 0, 0","3, 4, 3, 4, 14, 9, 4, 6"
1,0,4.418174505,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","1, 7, 1, 0, 7, 8, 7, 8","25, 52, 43, 17, 82, 74, 60, 78"
1,0,4.628837824,"29987962880, 29987962880, 29987962880, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","11, 6, 7, 8, 13, 8, 7, 13","72, 68, 57, 70, 68, 79, 79, 71"
1,0,4.898152113,"29987962880, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","7, 7, 8, 7, 13, 6, 14, 1","55, 43, 77, 48, 71, 77, 75, 72"
1,0,5.128745317,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","7, 7, 7, 14, 7, 5, 1, 11","58, 50, 46, 71, 62, 60, 47, 62"
1,0,5.344159603,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","8, 12, 13, 13, 7, 13, 13, 8","60, 75, 49, 71, 66, 64, 58, 63"
1,0,5.549838543,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","13, 8, 13, 13, 13, 8, 11, 13","65, 53, 72, 68, 58, 68, 59, 64"
1,0,5.759171247,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","7, 7, 0, 7, 2, 2, 1, 1","50, 51, 32, 50, 17, 17, 25, 8"
1,0,5.964138746,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 2, 2, 0, 13, 8, 0, 13","0, 8, 9, 0, 19, 14, 2, 21"
1,0,6.169531345,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 2, 0, 3"
1,0,6.374918461,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 41, 0, 0, 0","0, 0, 0, 0, 63, 0, 0, 0"
1,2,6.579790354,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 42, 0, 0, 0","0, 0, 0, 0, 75, 0, 0, 0"
1,2,6.785288572,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,6.990468264,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.195713758,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.4016819,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.608247757,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,7.814017534,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.019924402,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.225599766,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.431217909,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.637884378,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,8.84376502,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,2,9.049450397,"29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728, 29985865728","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
