job,dag,timestamp,total-mem,mem-util,compute-util
0,0,6.461143494e-05,"30772297728, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0"
1,0,0.498600006,"31125667840, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.704757452,"31194873856, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,0.91028738,"31301828608, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","6, 0, 0, 0, 0, 0, 0, 0"
1,0,1.118728638,"31377326080, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","1, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.327065229,"31444434944, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","6, 0, 0, 0, 0, 0, 0, 0"
1,0,1.537050724,"31517835264, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,1.75457859,"31647858688, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,1.967181206,"31729647616, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","5, 0, 0, 0, 0, 0, 0, 0"
1,0,2.176733255,"31754813440, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","4, 0, 0, 0, 0, 0, 0, 0"
1,0,2.382709026,"31754813440, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232, 30068703232","0, 0, 0, 0, 0, 0, 0, 0","2, 0, 0, 0, 0, 0, 0, 0"
1,0,2.591197252,"31792562176, 30110646272, 30142103552, 30106451968, 30112743424, 30108549120, 30142103552, 30121132032","0, 0, 0, 0, 0, 0, 0, 0","2, 2, 2, 1, 3, 4, 4, 2"
1,0,2.823524952,"31851282432, 30213406720, 30202920960, 30165172224, 30209212416, 30261641216, 30202920960, 30190338048","0, 0, 1, 0, 0, 0, 1, 0","4, 3, 11, 4, 5, 4, 11, 3"
1,0,3.034806728,"31899516928, 30272126976, 30309875712, 30219698176, 30265835520, 30322458624, 30261641216, 30240669696","0, 0, 0, 0, 1, 1, 0, 0","3, 4, 3, 3, 10, 11, 4, 3"
1,0,3.248119354,"31958237184, 30328750080, 30374887424, 30267932672, 30328750080, 30381178880, 30318264320, 30295195648","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 2, 4, 5, 4, 5, 5"
1,0,3.455423117,"32052609024, 30389567488, 30435704832, 30326652928, 30385373184, 30452482048, 30368595968, 30439899136","0, 0, 0, 0, 0, 0, 0, 0","4, 5, 6, 3, 4, 3, 4, 3"
